,name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
0,0,2014,145500,1,1,1,1,23.4,1248.0,74.0,5.0
1,1,2014,120000,1,1,1,2,21.14,1498.0,103.52,5.0
2,2,2006,140000,2,1,1,3,17.7,1497.0,78.0,5.0
3,3,2010,127000,1,1,1,1,23.0,1396.0,90.0,5.0
4,0,2007,120000,2,1,1,1,16.1,1298.0,88.2,5.0
5,3,2017,45000,2,1,1,1,20.14,1197.0,81.86,5.0
6,0,2007,175000,3,1,1,1,17.3,1061.0,57.5,5.0
7,0,2001,5000,2,1,1,2,16.1,796.0,37.0,4.0
8,4,2011,90000,1,1,1,1,23.59,1364.0,67.1,5.0
9,5,2013,169000,1,1,1,1,20.0,1399.0,68.1,5.0
10,6,2014,68000,1,1,1,2,19.01,1461.0,108.45,5.0
11,0,2005,100000,2,1,1,2,17.3,993.0,60.0,5.0
12,0,2009,140000,1,1,1,2,19.3,1248.0,73.9,5.0
13,0,2009,90000,2,1,1,2,18.9,1061.0,67.0,5.0
14,7,2016,40000,2,1,1,1,18.15,1198.0,82.0,5.0
15,0,2016,70000,1,1,1,2,24.52,1248.0,88.5,7.0
16,3,2012,53000,1,1,1,2,23.0,1396.0,90.0,5.0
17,0,2002,80000,2,1,1,2,19.7,796.0,46.3,5.0
18,3,2016,100000,1,1,1,1,22.54,1396.0,88.73,5.0
19,7,2011,100000,1,1,1,2,21.0,1461.0,64.1,5.0
20,2,2017,50000,1,1,1,1,25.5,1498.0,98.6,5.0
21,0,2015,40000,1,1,1,1,26.59,1248.0,74.0,5.0
22,0,2012,72000,1,1,1,1,21.5,1248.0,88.8,5.0
23,8,2018,35000,2,1,1,1,20.3,1199.0,83.81,5.0
24,0,2016,45000,2,1,1,1,21.4,1197.0,83.1,5.0
25,0,2017,28000,2,1,1,1,24.7,796.0,47.3,5.0
26,9,2013,70000,1,1,1,1,18.2,1248.0,73.8,7.0
27,0,2009,120000,2,1,1,1,18.9,1061.0,67.0,5.0
28,0,2018,25000,2,1,1,1,16.8,796.0,34.2,8.0
29,0,2017,70000,1,1,1,1,24.3,1248.0,88.5,5.0
30,0,2012,35000,2,1,1,2,14.0,796.0,35.0,5.0
31,3,2018,2388,2,1,1,1,18.6,1197.0,81.83,5.0
32,0,2017,16200,1,1,1,1,24.3,1248.0,88.5,5.0
33,0,2019,10000,4,1,1,2,33.44,796.0,40.3,4.0
34,0,2019,15000,2,1,1,1,23.95,998.0,67.1,5.0
35,3,2019,5000,2,1,1,1,17.0,1591.0,121.3,5.0
36,10,2016,42000,2,1,1,1,20.63,1198.0,67.0,5.0
37,8,2011,60000,1,1,1,2,13.93,2179.0,138.03,7.0
38,0,2012,76000,2,1,1,1,16.1,796.0,37.0,4.0
39,11,2019,5000,2,1,2,1,16.0,1368.0,160.77,5.0
40,2,2018,28900,2,2,1,1,17.8,1497.0,117.3,5.0
41,2,2013,86300,2,2,1,1,16.8,1497.0,116.3,5.0
42,0,2018,23300,2,2,2,1,18.5,1197.0,83.14,5.0
43,0,2018,32600,1,2,1,1,24.3,1248.0,88.5,5.0
44,0,2018,10300,2,2,1,1,23.95,998.0,67.05,5.0
45,4,2014,77000,1,2,1,1,12.55,2982.0,168.5,7.0
46,4,2013,99000,1,2,1,1,12.99,2494.0,100.0,7.0
47,12,2014,27800,1,2,2,2,14.8,2143.0,120.7,5.0
48,2,2015,49800,1,2,1,1,24.7,1498.0,98.63,5.0
49,13,2013,151000,1,2,1,1,13.5,2477.0,175.56,7.0
50,2,2015,54700,1,2,1,1,26.0,1498.0,98.6,5.0
51,0,2018,64000,2,2,1,1,20.65,1462.0,103.25,5.0
52,2,2015,63000,1,2,1,1,27.3,1498.0,98.6,5.0
53,4,2016,127700,1,2,2,2,11.36,2755.0,171.5,7.0
54,4,2016,99000,1,2,1,1,12.99,2494.0,100.6,7.0
55,14,2013,33900,1,2,2,2,17.68,1968.0,174.33,5.0
56,4,2018,25000,2,2,2,1,14.28,1798.0,138.03,5.0
57,14,2013,50000,1,2,2,1,18.53,1968.0,187.74,5.0
58,12,2013,59000,1,2,2,1,14.84,2143.0,170.0,5.0
59,8,2011,120000,1,1,1,1,21.12,1248.0,88.8,5.0
60,3,2011,110000,2,1,1,3,20.36,1197.0,78.9,5.0
61,3,2013,60000,1,1,1,1,21.27,1396.0,88.76,5.0
62,0,2015,147000,1,1,1,2,26.59,1248.0,74.0,5.0
63,5,2017,25000,2,1,1,3,18.16,1196.0,86.8,5.0
64,0,2019,30000,2,1,1,1,21.4,1197.0,83.1,5.0
65,15,2016,40000,1,1,1,1,22.0,1498.0,108.495,5.0
66,2,2015,135000,1,1,1,1,25.1,1498.0,98.6,5.0
67,0,2018,30000,2,1,2,1,20.51,998.0,67.0,5.0
68,15,2017,80000,1,1,1,1,21.66,1498.0,108.62,5.0
69,0,2016,70000,1,1,1,1,24.3,1248.0,88.5,5.0
70,0,2019,9850,1,1,2,1,24.3,1248.0,88.5,5.0
71,3,2011,60000,2,1,1,2,20.36,1197.0,78.9,5.0
72,0,2016,70000,1,1,1,1,25.2,1248.0,74.0,5.0
73,4,2015,78000,1,1,1,2,12.55,2982.0,168.5,7.0
74,0,2013,120000,1,1,1,2,22.9,1248.0,74.0,5.0
75,0,2012,120000,2,1,1,2,16.02,1373.0,93.7,7.0
76,15,2013,170000,1,1,1,1,20.54,1598.0,103.6,5.0
77,4,2016,140000,1,1,1,1,12.99,2494.0,100.6,8.0
78,5,2015,90000,1,1,1,1,22.77,1498.0,98.59,5.0
79,16,2016,30000,2,1,2,2,15.71,1998.0,189.0,5.0
80,0,2017,10000,2,2,1,1,23.1,998.0,67.04,5.0
81,10,2016,49000,2,2,1,1,19.02,1198.0,67.05,5.0
82,0,2016,32000,2,2,1,1,24.7,796.0,47.3,5.0
83,0,2016,38000,2,2,1,1,24.7,796.0,47.3,5.0
84,3,2012,28000,2,2,1,1,19.81,1086.0,68.05,5.0
85,0,2017,32000,2,2,1,1,14.0,796.0,35.0,5.0
86,0,2010,44000,3,2,1,1,26.2,998.0,58.2,5.0
87,15,2015,42000,2,2,1,1,16.47,1198.0,74.0,5.0
88,3,2015,45000,2,2,1,2,19.81,1086.0,68.05,5.0
89,15,2012,12000,2,2,1,2,15.04,1598.0,103.6,5.0
90,0,2009,55500,2,2,1,1,18.2,998.0,67.1,5.0
91,3,2013,61500,2,2,1,1,18.5,1197.0,82.85,5.0
92,0,2016,150000,1,1,1,1,26.59,1248.0,74.0,5.0
93,3,2016,72000,2,2,2,1,19.1,1197.0,82.0,5.0
94,0,2008,68000,2,2,1,3,19.7,796.0,46.3,5.0
95,3,2017,110000,1,1,1,1,22.54,1396.0,88.73,5.0
96,0,2009,77000,2,2,1,2,21.79,998.0,67.05,5.0
97,8,2010,100000,1,1,1,2,18.8,1248.0,90.0,5.0
98,0,2019,10000,2,1,1,1,21.21,1197.0,81.8,5.0
99,0,2016,100000,2,1,1,3,15.37,1196.0,73.0,7.0
100,0,2018,35000,2,1,1,1,21.4,1197.0,83.1,5.0
101,7,2014,70000,1,1,2,2,11.79,2179.0,120.0,8.0
102,5,2020,5000,2,1,1,2,19.0,1194.0,94.68,5.0
103,3,2017,37800,2,1,1,1,17.0,1591.0,121.3,5.0
104,15,2010,114000,2,1,1,1,14.3,1798.0,160.0,5.0
105,8,2010,48000,2,1,1,1,15.8,1172.0,65.0,5.0
106,7,2019,32000,1,1,1,1,15.1,2179.0,155.0,7.0
107,8,2016,100000,1,1,1,1,19.09,1405.0,69.01,5.0
108,3,2013,150000,1,1,1,2,22.32,1582.0,126.32,5.0
109,3,2013,69000,1,1,1,1,21.9,1396.0,88.76,5.0
110,4,2009,100000,2,1,1,2,14.53,1798.0,138.1,5.0
111,0,2020,13000,2,1,1,1,21.63,998.0,67.04,5.0
112,0,2016,60000,1,1,1,1,24.3,1248.0,88.5,5.0
113,0,2017,40000,2,1,1,1,20.85,1197.0,83.14,5.0
114,0,2017,35000,2,1,1,1,20.51,998.0,67.04,5.0
115,17,2014,70000,1,1,1,3,20.45,1461.0,83.8,5.0
116,3,2016,50000,1,1,1,1,19.67,1582.0,126.2,5.0
117,5,2017,76139,1,1,1,1,23.0,1498.0,98.96,5.0
118,0,2012,175000,1,1,1,4,19.3,1248.0,73.9,5.0
119,6,2018,25000,2,1,1,1,23.01,999.0,67.0,5.0
120,0,2015,40000,2,1,1,2,23.1,998.0,67.04,5.0
121,0,2008,65000,2,1,1,4,19.7,796.0,46.3,5.0
122,0,2013,90000,1,1,1,2,20.77,1248.0,88.76,7.0
123,3,2009,80000,2,1,1,2,17.92,1086.0,62.1,5.0
124,0,2015,110000,1,1,1,2,20.77,1248.0,88.76,7.0
125,2,2019,1303,2,2,1,1,17.8,1198.0,86.7,5.0
126,14,2018,31800,1,2,2,1,17.01,1968.0,188.0,5.0
127,18,2019,20000,2,2,2,1,22.37,2487.0,214.56,5.0
128,19,2017,45000,1,2,2,1,19.33,1999.0,177.0,5.0
129,11,2017,17000,2,1,2,1,9.5,3604.0,280.0,5.0
130,20,2019,21000,1,2,2,1,12.83,1999.0,148.31,7.0
131,12,2017,37000,1,2,2,1,13.5,2987.0,254.79,5.0
132,16,2018,29500,1,2,2,1,22.48,1995.0,187.74,5.0
133,16,2019,7500,1,2,2,1,16.78,1995.0,190.0,5.0
134,1,2018,50000,2,2,2,1,14.67,1798.0,177.46,5.0
135,12,2016,35000,1,2,2,1,15.0,2143.0,204.0,5.0
136,21,2019,19000,2,2,2,1,13.96,1451.0,141.0,5.0
137,2,2017,41000,2,2,2,1,18.0,1497.0,117.6,5.0
138,4,2013,39000,2,2,2,1,14.28,1798.0,138.03,5.0
139,22,2018,22000,1,2,2,1,18.0,1969.0,190.0,5.0
140,14,2015,53000,1,2,2,1,12.07,2967.0,241.4,7.0
141,0,2015,40000,1,2,1,1,26.21,1248.0,88.5,5.0
142,12,2017,47000,1,2,2,1,13.5,2987.0,282.0,5.0
143,16,2010,72200,2,2,2,2,10.8,2497.0,150.0,5.0
144,3,2016,49900,2,2,1,1,16.3,1797.0,147.5,5.0
145,19,2017,9000,1,2,2,1,13.6,1999.0,177.0,5.0
146,8,2018,11000,2,2,1,1,17.0,1198.0,108.5,5.0
147,15,2011,49000,2,1,1,1,15.04,1598.0,103.6,5.0
148,3,2012,95000,2,1,1,1,16.3,1797.0,147.5,5.0
149,1,2016,11000,2,2,2,1,14.3,1598.0,103.5,5.0
150,12,2018,18000,2,2,2,1,15.04,1991.0,183.0,5.0
151,0,2014,46100,2,2,1,1,16.02,1373.0,93.7,7.0
152,12,2017,16000,2,2,2,1,14.74,1991.0,181.04,5.0
153,2,2017,18000,2,2,2,1,15.6,1497.0,116.3,5.0
154,4,2019,9654,2,2,2,1,19.56,1197.0,81.8,5.0
155,0,2011,11000,2,2,1,1,23.95,998.0,67.05,5.0
156,0,2012,24300,2,2,1,1,21.21,1197.0,81.8,5.0
157,4,2016,42163,1,2,2,2,11.36,2755.0,171.5,7.0
158,8,2018,8000,1,2,2,1,21.5,1497.0,108.5,5.0
159,16,2016,30000,1,2,2,1,22.69,1995.0,190.0,5.0
160,4,2016,41000,2,2,2,1,19.16,2494.0,157.7,5.0
161,16,2016,12000,1,2,2,1,18.12,1995.0,190.0,5.0
162,4,2009,71000,2,2,2,1,12.1,2362.0,164.7,5.0
163,0,2016,20000,2,1,1,1,17.5,1373.0,91.1,7.0
164,22,2017,30000,2,1,2,1,42.0,1969.0,400.0,4.0
165,15,2011,100000,1,1,1,2,20.54,1598.0,103.6,5.0
166,5,2018,9500,2,1,1,1,18.16,1196.0,86.8,5.0
167,5,2011,120000,1,1,1,1,20.0,1399.0,68.0,5.0
168,0,2015,36600,2,1,1,1,20.4,1197.0,81.8,5.0
169,0,2015,50000,2,1,2,2,20.51,998.0,67.0,5.0
170,3,2016,14000,2,1,1,2,18.6,1197.0,81.83,5.0
171,0,1999,40000,2,1,1,2,16.1,796.0,37.0,4.0
172,0,2010,120000,1,1,1,1,21.1,1248.0,73.9,5.0
173,3,2015,70000,2,1,1,1,18.9,1197.0,82.0,5.0
174,15,2019,13000,2,1,1,1,19.44,999.0,75.0,5.0
175,3,2014,60000,2,1,1,2,18.9,1197.0,82.0,5.0
176,0,2014,35000,2,1,1,1,19.1,1197.0,85.8,5.0
177,3,2016,44000,2,1,1,2,19.1,1197.0,82.0,5.0
178,2,2005,120000,2,1,1,2,13.0,1493.0,100.0,5.0
179,4,2010,60000,1,1,1,1,21.43,1364.0,87.2,5.0
180,23,2000,60000,2,1,1,1,18.5,796.0,53.0,5.0
181,4,2014,30000,1,1,1,2,13.0,2982.0,168.5,7.0
182,7,2016,15000,2,1,1,2,18.15,1198.0,82.0,6.0
183,8,2017,90000,1,1,1,1,22.95,1248.0,74.0,5.0
184,2,2009,47000,2,1,1,2,17.0,1497.0,118.0,5.0
185,0,2005,90000,2,1,1,1,17.3,993.0,60.0,5.0
186,0,2010,120600,2,1,1,2,18.9,998.0,67.1,5.0
187,3,2010,100000,2,1,1,3,16.2,1599.0,103.2,5.0
188,0,2016,60000,2,1,1,2,20.85,1197.0,83.14,5.0
189,3,2005,86000,2,1,1,1,15.3,1341.0,83.0,5.0
190,3,2020,5000,2,1,1,1,18.6,1197.0,81.86,5.0
191,0,2017,37000,1,1,1,1,28.09,1248.0,88.5,5.0
192,8,2019,14000,2,1,1,1,20.3,1199.0,84.0,5.0
193,0,2015,70000,1,1,1,1,20.77,1248.0,88.76,7.0
194,2,2015,50000,2,1,1,1,17.4,1497.0,117.3,5.0
195,2,2014,60000,2,1,1,2,19.4,1198.0,86.8,5.0
196,0,2016,50000,4,1,1,1,26.6,998.0,58.16,5.0
197,0,2017,50000,2,1,1,1,20.85,1197.0,83.14,5.0
198,3,2013,70000,2,1,1,1,18.5,1197.0,82.85,5.0
199,0,2018,35000,2,1,2,1,20.51,998.0,67.0,5.0
200,0,2017,20000,2,1,1,1,21.21,1197.0,81.8,5.0
201,0,2018,20000,2,1,1,1,24.7,796.0,47.3,5.0
202,0,2018,7800,2,1,2,1,22.0,1197.0,81.8,5.0
203,0,2017,20000,2,1,1,1,20.4,1197.0,81.8,5.0
204,8,2019,15000,1,1,1,1,17.6,2179.0,147.94,7.0
205,3,2013,31377,2,1,1,2,18.5,1197.0,82.85,5.0
206,0,2018,50000,1,1,1,1,28.4,1248.0,74.02,5.0
