,age_last_funding_year,relationships,milestones,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,is_top500
0,3.0027,3,3,0,0,0,0,0,0,0,0,0,1,0
1,9.9973,9,1,0,0,0,1,0,0,0,0,0,0,1
2,1.0329,5,2,0,1,0,0,0,0,0,0,0,0,1
3,5.3151,5,1,1,0,0,0,0,0,0,0,0,0,1
4,1.6685,2,1,0,0,0,0,0,1,0,0,0,0,1
5,4.5452,3,1,0,0,0,0,0,0,0,0,0,1,1
6,5.211,6,2,1,0,0,0,0,0,0,0,0,0,1
7,6.7616,25,3,0,0,0,0,0,0,0,0,0,1,1
8,11.1123,13,4,0,0,1,0,0,0,0,0,0,0,1
9,4.6849,14,4,0,1,0,0,0,0,0,0,0,0,1
10,9.4493,22,3,0,0,1,0,0,0,0,0,0,0,1
11,5.337,8,2,0,1,0,0,0,0,0,0,0,0,1
12,4.9041,0,0,0,1,0,0,0,0,0,0,0,0,0
13,2.4356,15,3,0,0,0,0,0,0,0,0,0,1,1
14,8.9973,12,1,1,0,0,0,0,0,0,0,0,0,1
15,6.6082,0,0,0,0,0,0,0,0,0,0,0,1,0
16,6.7644,8,1,0,0,0,0,0,0,0,0,0,1,1
17,7.1726,7,3,0,0,0,0,0,1,0,0,0,0,1
18,1.5808,10,3,0,1,0,0,0,0,0,0,0,0,1
19,2.8301,13,3,0,0,0,1,0,0,0,0,0,0,1
20,3.7863,8,3,1,0,0,0,0,0,0,0,0,0,0
21,3.8329,3,1,0,0,0,0,0,0,0,0,0,1,1
22,5.4904,1,1,0,1,0,0,0,0,0,0,0,0,0
23,3.3151,4,3,0,0,1,0,0,0,0,0,0,0,0
24,0.337,5,0,0,0,0,0,0,0,0,0,0,1,1
25,4.8411,3,1,1,0,0,0,0,0,0,0,0,0,1
26,4.0603,7,1,0,0,0,0,0,0,0,0,0,1,1
27,4.0685,2,3,0,0,0,0,0,0,0,0,0,1,1
28,4.5315,37,2,0,1,0,0,0,0,0,0,0,0,1
29,1.189,5,3,0,0,0,0,0,0,0,0,0,1,1
30,2.1644,3,1,0,0,0,0,0,0,0,0,0,1,1
31,5.1671,6,1,0,0,0,0,0,0,0,0,0,1,1
32,2.0192,9,0,1,0,0,0,0,0,0,0,0,0,1
33,0.8685,3,2,0,0,1,0,0,0,0,0,0,0,1
34,0.0822,2,0,0,0,0,0,0,0,0,0,0,1,0
35,2.6575,1,1,1,0,0,0,0,0,0,0,0,0,1
36,1.5945,8,3,1,0,0,0,0,0,0,0,0,0,1
37,5.7014,0,0,0,0,0,0,0,0,0,0,0,1,1
38,2.6493,10,3,0,0,0,0,0,0,1,0,0,0,1
39,5.9041,18,5,0,0,0,0,1,0,0,0,0,0,1
40,4.8027,26,5,0,0,0,1,0,0,0,0,0,0,1
41,0.5836,9,2,0,0,1,0,0,0,0,0,0,0,0
42,2.3863,7,2,0,0,0,0,0,0,0,0,0,1,1
43,3.4904,10,3,0,0,0,1,0,0,0,0,0,0,1
44,4.6658,25,4,0,0,0,0,1,0,0,0,0,0,1
45,2.6247,4,0,1,0,0,0,0,0,0,0,0,0,1
